Main Tourist Attraction,City,State,Dish Name,Veg or Non Veg,Type of Dish,Course
Cellular Jail,Port Blair,Andaman and Nicobar Islands,Grilled Lobster,Non Veg,Seafood Grill,Main Course
Radhanagar Beach,Havelock Island,Andaman and Nicobar Islands,Crab Meat Curry,Non Veg,Curry,Main Course
Bharatpur Beach,Neil Island,Andaman and Nicobar Islands,Prawn Masala,Non Veg,Spiced Seafood Curry,Main Course
Limestone Caves,Baratang Island,Andaman and Nicobar Islands,Coconut Fish Curry,Non Veg,Fish Curry (Coconut base),Main Course
Kanaka Durga Temple,Vijayawada,Andhra Pradesh,Pulihora (Tamarind Rice),Veg,Rice Dish,Main Course
Rishikonda Beach,Visakhapatnam,Andhra Pradesh,Gutti Vankaya Kura,Veg,Stuffed Eggplant Curry,Main Course
Kailasagiri,Visakhapatnam,Andhra Pradesh,Pesarattu Upma,Veg,Dosa + Upma Combo,Breakfast
Submarine Museum,Visakhapatnam,Andhra Pradesh,Gongura Pachadi,Veg,Pickle/Chutney,Side
Borra Caves,Visakhapatnam,Andhra Pradesh,Rasam (Andhra Charu),Veg,Soup,Starter
War Memorial,Visakhapatnam,Andhra Pradesh,Royyala Iguru,Non Veg,Prawn Masala,Main Course
Indira Gandhi Zoological Park,Visakhapatnam,Andhra Pradesh,Chepa Pulusu,Non Veg,Fish Curry,Main Course
Matsyadarshini Aquarium,Visakhapatnam,Andhra Pradesh,Naatu Kodi Pulusu,Non Veg,Country Chicken Curry,Main Course
Visakha Museum,Visakhapatnam,Andhra Pradesh,Pootharekulu,Veg,Paper Sweet,Dessert
Mallikarjuna Swamy Temple,Srisailam,Andhra Pradesh,Bobbatlu / Puran Poli (Andhra Style),Veg,Sweet Flatbread,Dessert
Papikondalu,Rajahmundry,Andhra Pradesh,Ulavacharu (Horse Gram Stew),Veg,Stew,Main Course
Lepakshi,Anantapur,Andhra Pradesh,Gongura Mutton,Non Veg,Mutton Curry,Main Course
Belum Caves,Kurnool,Andhra Pradesh,Punugulu,Veg,Fried Snack,Snack
Amaravathi Temple,Amravati,Andhra Pradesh,Sajja Roti,Veg,Millet Flatbread,Main Course
Uppalapadu Bird Sanctuary,Guntur,Andhra Pradesh,Jonna Roti,Veg,Sorghum Flatbread,Main Course
Gandikota Fort,Kadapa,Andhra Pradesh,Kaja (Andhra Sweet),Veg,Sweet,Dessert
Prasanthi Nilayam,Puttaparthi,Andhra Pradesh,Ariselu,Veg,Rice Sweet,Dessert
Simhachalam Temple,Vizianagaram,Andhra Pradesh,Bongu Chicken (Bamboo Chicken),Non Veg,Roast,Main Course
Tawang Monastery,Tawang,Arunachal Pradesh,Thenthuk,Veg/Non Veg,Pulled Noodles,Main Course
Kamakhya Temple,Guwahati,Assam,Masor Tenga,Non Veg,Fish Curry (Sour),Main Course
Umananda Island,Guwahati,Assam,Khar,Veg,Alkaline Veg Curry,Main Course
Pobitora Wildlife Sanctuary,Guwahati,Assam,Duck with Kumura,Non Veg,Duck Curry,Main Course
Kaziranga National Park,Kaziranga,Assam,Aloo Pitika,Veg,Mashed Potato,Side
Sivasagar Sivadol,Sivasagar,Assam,Pitha (Til Pitha),Veg,Rice Cake Sweet,Dessert
Majuli Island,Majuli,Assam,Ou Tenga Dal,Veg,Sour Lentil,Main Course
Manas National Park,Manas,Assam,Smoked Pork with Bamboo Shoot,Non Veg,Pork Curry,Main Course
Hayagriva Madhava Temple,Hajo,Assam,Jolpan,Veg,Sweet,Breakfast/Refreshment
Mahabodhi Temple,Bodh Gaya,Bihar,Litti Chokha,Veg,Stuffed Wheat Ball + Mash,Main Course
Sanjay Gandhi Biological Park,Patna,Bihar,Khaja,Veg,Layered Sweet,Dessert
Takhat Shri Harimandir Ji Patna Sahib,Patna,Bihar,Sattu Paratha,Veg,Stuffed Paratha,Main Course
Budhha Smriti Park,Patna,Bihar,Thekua,Veg,Fried Cookie,Dessert
Chitrakote Falls,Bastar,Chhattisgarh,Masala Dosa,Veg,"Crispy, Savory",Breakfast/Main
Naida Caves,Diu,Daman and Diu,Patra Ni Macchi,Non Veg,Mild Spicy,Main Course
Diu Fort,Diu,Daman and Diu,Ubadiyu,Veg,"Smoky, Spicy",Main Course
India Gate,Delhi,Delhi,Chole Bhature,Veg,Spicy Chickpeas + Fried Bread,Main Course
Humayun's Tomb,Delhi,Delhi,Butter Chicken,Non Veg,Creamy Curry,Main Course
Akshardham Temple,Delhi,Delhi,Daulat ki Chaat,Veg,Foamy Milk Dessert,Dessert
Waste to Wonder Park,Delhi,Delhi,Nihari,Non Veg,Slow-cooked Meat Stew,Main Course
Jantar Mantar,Delhi,Delhi,Kulfi Falooda,Veg,Frozen Dessert + Vermicelli,Dessert
Chandni Chowk,Delhi,Delhi,Parathe (Paranthe Wali Gali),Veg,Stuffed Flatbread,Breakfast
Lotus Temple,Delhi,Delhi,Kebabs (Seekh/Reshmi),Non Veg,Grilled Meat,Snack
Red Fort,Delhi,Delhi,Gol Gappe / Pani Puri,Veg,Street Snack,Snack
Agrasen ki Baoli,Delhi,Delhi,Rabri Jalebi,Veg,Sweet,Dessert
Sunder Nursery,Delhi,Delhi,Bedmi Puri with Aloo,Veg,Breakfast Combo,Breakfast
Garden of Five Senses,Delhi,Delhi,Moth Kachori,Veg,Snack,Snack
Lodhi Garden,Delhi,Delhi,Keema Mutter,Non Veg,Minced Meat Curry,Main Course
National Gallery of Modern Art,Delhi,Delhi,Karim's Mutton Korma,Non Veg,Mutton Curry,Main Course
National Zoological Park ,Delhi,Delhi,Chandni Chowk Kulcha,Veg,Bread + Chole,Main Course
Qutub Minar,Delhi,Delhi,Kadai Paneer,Veg,Paneer Curry,Main Course
National Science Centre,Delhi,Delhi,Rajma Chawal,Veg,Beans + Rice,Main Course
Gurudwara Bangla Sahib,New Delhi,Delhi,Aloo Tikki Chaat,Veg,Street Snack,Snack
Jama Masjid,New Delhi,Delhi,Samosa,Veg,Fried Snack,Snack
Rail Museum,New Delhi,Delhi,Kachori Sabzi,Veg,Snack + Curry,Breakfast
Calangute Beach,Goa,Goa,Pork Vindaloo,Non Veg,Curry,Main Course
