Region,State,City,Main Tourist Attraction,Time needed to visit (hours),Google Review Rating,Entrance Fee (INR),Type of Attractions,DSLR Allowed,Best Time to visit,Best Time (Months),Nearest Airport,Number of Google Reviews,Dish Name,Veg or Non Veg,Type of Dish,Course
South,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,1.0,4.5,0.0,Nature,Yes,Morning,Oct–Mar,Veer Savarkar International Airport (IXZ),4000,Prawn Masala,Non Veg,Spiced Seafood Curry,Main Course
South,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,1.0,4.8,0.0,Nature,Yes,Morning,Oct–Mar,Veer Savarkar International Airport (IXZ),9000,Crab Meat Curry,Non Veg,Curry,Main Course
South,Andaman and Nicobar Islands,Port Blair,Cellular Jail,1.5,4.7,30.0,Historical,Yes,Afternoon,Oct–Mar,Veer Savarkar International Airport (IXZ),12000,Grilled Lobster,Non Veg,Seafood Grill,Main Course
South,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,1.5,4.4,250.0,Nature,Yes,Morning,Oct–Mar,Veer Savarkar International Airport (IXZ),1500,Coconut Fish Curry,Non Veg,Fish Curry (Coconut base),Main Course
South,Andhra Pradesh,Kurnool,Belum Caves,1.5,4.4,65.0,Natural Wonder,Yes,Afternoon,Nov–Feb,Visakhapatnam Airport (VTZ),11000,Punugulu,Veg,Fried Snack,Snack
South,Andhra Pradesh,Rajahmundry,Papikondalu,2.0,4.3,0.0,Nature,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),3200,Ulavacharu (Horse Gram Stew),Veg,Stew,Main Course
South,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Visakhapatnam Airport (VTZ),49000,Bobbatlu / Puran Poli (Andhra Style),Veg,Sweet Flatbread,Dessert
South,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,1.5,4.5,0.0,Recreational,Yes,Morning,Nov–Feb,Visakhapatnam Airport (VTZ),39000,Gutti Vankaya Kura,Veg,Stuffed Eggplant Curry,Main Course
South,Andhra Pradesh,Kadapa,Gandikota Fort,1.5,4.5,0.0,Historical,Yes,Morning,Nov–Feb,Visakhapatnam Airport (VTZ),1500,Kaja (Andhra Sweet),Veg,Sweet,Dessert
South,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,1.0,4.4,10.0,Wildlife,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),70000,Jonna Roti,Veg,Sorghum Flatbread,Main Course
