Region,State,City,Main Tourist Attraction,Time needed to visit (hours),Google Review Rating,Entrance Fee (INR),Type of Attractions,DSLR Allowed,Best Time to visit,Best Time (Months),Nearest Airport,Number of Google Reviews,Dish Name,Veg or Non Veg,Type of Dish,Course,Attraction_Link,Dish_Link
South,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,1.0,4.5,0.0,Nature,Yes,Morning,Oct–Mar,Veer Savarkar International Airport (IXZ),4000,Prawn Masala,Non Veg,Spiced Seafood Curry,Main Course,https://drive.google.com/uc?export=view&id=1gNCyn7R4q10xeqbYmNBn5GX06rT99ZYl,https://drive.google.com/uc?export=view&id=1bkPxz8yt9Jqa7Dw8am9LzqQFVAWeeXjc
South,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,1.0,4.8,0.0,Nature,Yes,Morning,Oct–Mar,Veer Savarkar International Airport (IXZ),9000,Crab Meat Curry,Non Veg,Curry,Main Course,https://drive.google.com/uc?export=view&id=1Py3EMvC6CTqBAY1rngPplZEpymCqDNi6,https://drive.google.com/uc?export=view&id=1u4ZT06PQMyfsk9kwL7nnAOaZ9aRoVW92
South,Andaman and Nicobar Islands,Port Blair,Cellular Jail,1.5,4.7,30.0,Historical,Yes,Afternoon,Oct–Mar,Veer Savarkar International Airport (IXZ),12000,Grilled Lobster,Non Veg,Seafood Grill,Main Course,https://drive.google.com/uc?export=view&id=1FaTHr-beOcrbN8lfmrIjJOC5TwoPkS3e,https://drive.google.com/uc?export=view&id=1xHW0xnU-s5URZ2hdUJihb2gtZCLlW4mQ
South,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,1.5,4.4,250.0,Nature,Yes,Morning,Oct–Mar,Veer Savarkar International Airport (IXZ),1500,Coconut Fish Curry,Non Veg,Fish Curry (Coconut base),Main Course,https://drive.google.com/uc?export=view&id=1vkB4QrqkGeY0lQrlkkpGbVwD-i1IH54s,https://drive.google.com/uc?export=view&id=1LtXsBPjXZD3cCRGKeX0VkgeX9uKNWMBX
South,Andhra Pradesh,Kurnool,Belum Caves,1.5,4.4,65.0,Natural Wonder,Yes,Afternoon,Nov–Feb,Visakhapatnam Airport (VTZ),11000,Punugulu,Veg,Fried Snack,Snack,https://drive.google.com/uc?export=view&id=1Sx6AGkom6JDTIOCEUJUWjy9wms-ynU1B,https://drive.google.com/uc?export=view&id=11_Z6x_QHZt_88exYduvTKfNQd0_im7zC
South,Andhra Pradesh,Rajahmundry,Papikondalu,2.0,4.3,0.0,Nature,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),3200,Ulavacharu (Horse Gram Stew),Veg,Stew,Main Course,https://drive.google.com/uc?export=view&id=1CMWYxS6eSJinY9ffrX6bzebGEEn6VyES,https://drive.google.com/uc?export=view&id=1X9Kq1ogPCBizFj68mlgFhYcbU6Dvu6hW
South,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Visakhapatnam Airport (VTZ),49000,Bobbatlu / Puran Poli (Andhra Style),Veg,Sweet Flatbread,Dessert,https://drive.google.com/uc?export=view&id=1P1VjcBre8ihGocrS7BjKPQzArtElTq9u,https://drive.google.com/uc?export=view&id=17XIKMtxpAu8MkwUX7LfGwSzK5ibFnC2K
South,Andhra Pradesh,Visakhapatnam,Rushikonda Beach,2.0,4.2,0.0,Scenic,No,All,Oct–Mar,Visakhapatnam Airport (VTZ),14500,Chepala Pulusu (Andhra Fish Curry),Non-Veg,Spicy Tamarind Fish Curry,Main Course,https://drive.google.com/uc?export=view&id=1arpJFZ3gq_i2G80GsjoyMUqXEIWc2FLG,https://drive.google.com/uc?export=view&id=1XjrzMLZyShiYydB9t3CwOH64neLLVxYv
South,Andhra Pradesh,Kadapa,Gandikota Fort,1.5,4.5,0.0,Historical,Yes,Morning,Nov–Feb,Visakhapatnam Airport (VTZ),1500,Kaja (Andhra Sweet),Veg,Sweet,Dessert,https://drive.google.com/uc?export=view&id=1SfYLx-0JzFK7NqnVMjW2F8RZTGgHKeUY,https://drive.google.com/uc?export=view&id=1BHDEDv2GJMke-l6asEoBFYjDu36fQ2jH
South,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,1.0,4.4,10.0,Wildlife,Yes,All,Nov–Feb,Visakhapatnam Airport (VTZ),70000,Jonna Roti,Veg,Sorghum Flatbread,Main Course,https://drive.google.com/uc?export=view&id=1kjx9ff4SUfUfsiUdTMVphUjSalg83dS3,https://drive.google.com/uc?export=view&id=1VHA6cjTrDZVE7rysy-WjQuXklSUvvo0u
